claim_id,section,claim_kind,claim_text_sha256,evidence_ids,verification_status,uncertainty,analysis_intent
C025,Discussion,estimate,45d09ea4bc5686f2fa4355f0b285f4450b3257767f74e5261c645a39a8c33d0b,,unresolved,none_stated,descriptive
C026,Discussion,estimate,0ef2973cf71ea405c0e2e01e4507741d8d19b0cb0263932d2afa94de1638e397,,unresolved,estimated,descriptive
C027,Discussion,estimate,296894a4bcdb958cd298865cfd07e12faaf812db8fa487becc4225351523dd66,,unresolved,none_stated,descriptive
C028,Discussion,estimate,0d252e79659f84b22ec4a59359f33f1afa97799c7892d24a4b6b36d7e5872589,,unresolved,estimated,descriptive
C029,Results,estimate,5bf3df8c08eb977484ccc751aef3c9a32659da1e0a1817e60c34f334b87365d1,E010,verified_by_open_source,none_stated,descriptive
C030,Results,estimate,aa99696c77f4c5835b48615a335cc5ab6926fb9276af18cd6e631103ce1b907c,,unresolved,estimated,descriptive
C031,Results,estimate,9a8aebf6782dbf218661f19f44df014a1a8afabd5545352c4112b48508e8e4ba,,unresolved,estimated,descriptive
C032,Results,estimate,7aabf1ffd13d5f8288549115c37ef81189d7bb241d4be123c6ed940f3cd97a39,,unresolved,estimated,descriptive
C033,Results,estimate,73400383b6ffa356304a562ba08a39f0d7f55f64ef87651ddcc4a42ebd02e1d1,,unresolved,estimated,descriptive
C034,Results,estimate,09ae1ef429f5c90692209cd307af6c29055b151b3b33e3284a3dc2710eb62837,,unresolved,estimated,descriptive
C035,Discussion,estimate,52280e69c53c7019027c5021e80b47c086cf97061ad5af22d14a200a9c08c44b,E011,verified_by_open_source,estimated,descriptive
C036,Results,factual,e4b2fa25402607cc73d77c0bbbb22619a7ab050d8b0061bc7ed03c02836a5cba,E012,verified_by_open_source,estimated,descriptive
C037,Introduction,estimate,c2af8da0d3066ddd3448802837746a65871208ed1dc255e71014bbca8eea684b,E013,verified_by_open_source,estimated,descriptive
C038,Results,estimate,b239eeccf1c174d5963dd9f8ef970dfa1181e06098d45fcb059d99f1b89b22c9,E014,verified_by_open_source,estimated,descriptive
C039,Results,estimate,476b7a0c4fa7ce2e560fc2fc65c2c30d1f673094ac921823331b3e9182af34d5,,unresolved,none_stated,descriptive
C040,Discussion,estimate,6b4a0b42766afd07bb13930c0b2690c3c827f23809c17b6dc478fe8190f5fe5c,,unresolved,none_stated,descriptive
C041,Discussion,estimate,ab99ecb59a13daf8e6b5a53fd9e756d28c0786402b973f5304368f1a82b7c071,E016,verified_by_open_source,none_stated,descriptive
C042,Results,estimate,ae06e094858db6d961a561fc5d8a4a62543b091a44fb7318d90dfdbfe0a7bdcd,E015,verified_by_open_source,estimated,descriptive
C043,Discussion,estimate,f539be1dbe56abb0413577327f85d9566a86f3e2b275622d37474454b40604c4,,unresolved,estimated,descriptive
C044,Results,computational,29aea179d06ef4d82303c33d9a9bdc64dd63fb9f6ca8adaf2e9c43794934d578,E016,reproducible_local,none_stated,confirmatory
C045,Results,computational,45d036117f574f39af2969c619df05c9f70078aa0e874575bc0e552d0a7023ee,E017,reproducible_local,estimated,confirmatory
C046,Results,computational,a4f09e0e27d3233fc9f9dbffdbc6746a8f203d5da46c22dc10f88490b17bbfe7,E018,reproducible_local,estimated,confirmatory
